Title,Price,Price/m2,Area,Living Area,Legal Documents,Rooms,Toilets,Address
"Bán Gấp Căn Nhà Vị Trí Đẹp, ở 19 Hàm Nghi f2 - TP Tuy Hoà.","5,9 tỷ","49,29 triệu/m²",119.7 m²,180 m²,Đã có sổ,2 phòng,2 phòng,"19,, đường Hàm Nghi, Phường 2, Thành phố Tuy Hòa, Phú Yên"
Tôi (CHÍNH CHỦ)cần bán nhà gác lửng 3pn thới hoà,"1,65 tỷ","18,33 triệu/m²",90 m²,90 m²,Đã có sổ,3 phòng,2 phòng,"Quốc Lộ 13, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương"
"Bán 11 căn hộ Thủ Dầu Một, Bình Dương - thu nhập 50 triệu/tháng","10,2 tỷ","25,13 triệu/m²",405.9 m²,405.9 m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,"Hẻm 220, Đường Huỳnh Văn Lũy, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương"
"BÁN NHÀ GẦN CHỢ TÂN AN, NINH KIỀU GIÁ 1 TỶ 990","1,99 tỷ","39,80 triệu/m²",50 m²,50 m²,Đã có sổ,2 phòng,1 phòng,"Đường Nguyễn Thị Minh Khai, Phường Tân An, Quận Ninh Kiều, Cần Thơ"
Nhà Sát MT Trương Thị Hoa - 5 Tầng- Đường 8m- Giá 6 Đồng xíu,"6,45 tỷ","115,18 triệu/m²",56 m²,298 m²,Đã có sổ,4 phòng,5 phòng,"Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh"
BÁN NHÀ KIỆT 3M - BÌNH THÁI 1-GẦN CHỢ CẨM LỆ-ĐÀ NẴNG,"2,9 tỷ","34,94 triệu/m²",83 m²,120 m²,Đã có sổ,2 phòng,2 phòng,"Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"
Nhà phố 4.5 lầu ngay eon BT .SHR,"5,5 tỷ","91,67 triệu/m²",60 m²,229 m²,Đã có sổ,5 phòng,5 phòng,"126, An Dưng Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
(Chính chủ) Bán nhà + tặng nội thất,"1,15 tỷ","23,96 triệu/m²",48 m²,96 m²,Sổ chung / công chứng vi bằng,2 phòng,2 phòng,"Hẽm 286, Hà Duy Phiên (Cầu Cây Điệp), Xã Bình Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh"
KDC HỒNG LOAN,"6,2 tỷ","56,36 triệu/m²",110 m²,300 m²,Đã có sổ,4 phòng,4 phòng,"Khu Dân Cư Hồng Loan, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ"
Bán nhà 4 tầng đúc hẻm ôtô khu phân lô Đường Số 9 Phường 16 Gò vấp,"9,8 tỷ","122,50 triệu/m²",80 m²,300 m²,Đã có sổ,4 phòng,5 phòng,"Đường số 9, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh"
Cần tiền bán căn nhà 3 tầng mặt tiền đường 30-60m nối tuyến Cầu SG,25 tỷ,250 triệu/m²,100 m²,320 m²,Đã có sổ,7 phòng,5 phòng,"Liên Phường, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
Cần bán gấp căn nhà. Nơ trang long p12. bình thạnh,"5,95 tỷ","185,94 triệu/m²",32 m²,96 m²,Đã có sổ,3 phòng,3 phòng,"Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh"
