Title,Land Type,Price,Price per m2,Area,City
"BÁN ĐẤT VƯỜN LONG AN 228m2 – SỔ HỒNG RIÊNG, QH Thổ Cư [Hàng Hiếm]",Đất nông nghiệp • Ngang 12 m,795 triệu,"3,5 tr/m²",228 m²,Long An
"Nhà SHR hỗ trợ 800tr nhận nhà ngay, nhà thuốc HoàngChương chợ ThạnhPhú",3 PN • Hướng Nam • Nhà phố liền kề,"2,3 tỷ",24 tr/m²,95 m²,Đồng Nai
"Bán nhà đường số 2, Phường trường thọ,thủ đức KDC Centerhome có vỉa hè",Đất thổ cư • Ngang 4.87 m,"7,5 tỷ",94 tr/m²,80 m²,Tp Hồ Chí Minh
HOT DEAL - 2PN - 84M2 - CÓ SỔ - VIEW ĐẸP - 7.7 TỶ - TIN THẬT 100%,2 PN • Chung cư,"7,7 tỷ",92 tr/m²,84 m²,Tp Hồ Chí Minh
Bán nhà ở chung Cư C cách AEON MALL 2Km,1 PN • Hướng Tây Nam • Nhà phố liền kề,990 triệu,18 tr/m²,56 m²,Cần Thơ
"Biệt thự vườn, có hồ bơi, sát suối tại Phước Đồng, Nha Trang",3 PN • Hướng Đông Bắc • Nhà biệt thự,10 tỷ,17 tr/m²,606 m²,Khánh Hòa
Ô TÔ NGỦ TRONG NHÀ-3 TẦNG ĐÚC KIÊN CỐ-NHÀ MỚI Ở NGAY- 50Tr/m2- SIÊU RẺ,"3 PN • Nhà ngõ, hẻm","6,3 tỷ",56 tr/m²,112 m²,Tp Hồ Chí Minh
Tân Mỹ - Chính chủ bán đất mặt tiền TL825 full thổ 250m2,Đất thổ cư,"5,9 tỷ",24 tr/m²,250 m²,Long An
HXT 7M- NGAY NGÃ TƯ 4 XÃ- HL 2- GIÁP TPHÚ- 4 TẦNG KIÊN CỐ- 60M2_4*15M,"4 PN • Nhà ngõ, hẻm","5,6 tỷ",93 tr/m²,60 m²,Tp Hồ Chí Minh
"Nhỉnh 6 tỷ , nhà Tân Phú giáp Tân Bình, Q10, Q11 , HXH ,52m2, 5 tầng.",5 PN • Nhà phố liền kề,"6,45 tỷ",124 tr/m²,52 m²,Tp Hồ Chí Minh
NHÀ ĐẸP Ở NGAY-HXH 5M-3PN SẴN CÓ PN DƯỚI TRỆT-NGÃ TƯ 4 XÃ GIÁP TÂN PHÚ,"3 PN • Nhà ngõ, hẻm","4,8 tỷ",79 tr/m²,61 m²,Tp Hồ Chí Minh
BÁN NHÀ KĐT THỊNH GIA,"2 PN • Hướng Đông Bắc • Nhà mặt phố, mặt tiền","1,2 tỷ",17 tr/m²,70 m²,Bình Dương
"HẺM XE HƠI, NHÀ LỘC LÁ- PHAN VĂN HỚN, Q12- 81M2*7M CHỈ 5Txx","3 PN • Nhà ngõ, hẻm","5,6 tỷ",69 tr/m²,81 m²,Tp Hồ Chí Minh
