Land Type,Price,Price per m2,Area,City
Đất thổ cư • Ngang 15 m,450 triệu,< 1 tr/m²,750 m²,Bình Phước
"3 PN • Nhà mặt phố, mặt tiền","2,15 tỷ",22 tr/m²,100 m²,Đồng Nai
Đất nông nghiệp,120 tỷ,"9,8 tr/m²",12253 m²,Tp Hồ Chí Minh
"2 PN • Nhà mặt phố, mặt tiền","3,5 tỷ",27 tr/m²,131 m²,Long An
"5 PN • Nhà mặt phố, mặt tiền",23 tỷ,256 tr/m²,90 m²,Đà Nẵng
"4 PN • Nhà ngõ, hẻm",5 tỷ,60 tr/m²,83 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,2 tỷ",87 tr/m²,60 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây Bắc • Nhà ngõ, hẻm","2,38 tỷ",82 tr/m²,29 m²,Tp Hồ Chí Minh
5 PN • Nhà biệt thự,"8,5 tỷ",15 tr/m²,557 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm",5 tỷ,83 tr/m²,60 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","4,6 tỷ",170 tr/m²,27 m²,Tp Hồ Chí Minh
"3 PN • Hướng Tây Nam • Nhà ngõ, hẻm","4,95 tỷ",99 tr/m²,50 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm",5 tỷ,93 tr/m²,54 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm",7 tỷ,159 tr/m²,44 m²,Hà Nội
"2 PN • Hướng Đông Nam • Nhà ngõ, hẻm",990 triệu,28 tr/m²,35 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5.1 m,519 triệu,"3,7 tr/m²",139 m²,Tây Ninh
"2 PN • Nhà ngõ, hẻm","3,95 tỷ",94 tr/m²,42 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,7 tỷ",94 tr/m²,50 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây Nam • Nhà ngõ, hẻm","1,45 tỷ",36 tr/m²,40 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm",5 tỷ,80 tr/m²,63 m²,Tp Hồ Chí Minh
3 PN • Chung cư,21 tỷ,150 tr/m²,140 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"20,5 tỷ",289 tr/m²,71 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"10,2 tỷ",179 tr/m²,57 m²,Tp Hồ Chí Minh
2 PN • Chung cư,19 tỷ,264 tr/m²,72 m²,Tp Hồ Chí Minh
4 PN • Chung cư,38 tỷ,224 tr/m²,170 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,35 tỷ",70 tr/m²,48 m²,Đà Nẵng
"nhiều hơn 10 PN • Nhà ngõ, hẻm",37 tỷ,168 tr/m²,220 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông Bắc • Nhà mặt phố, mặt tiền","5,1 tỷ",34 tr/m²,150 m²,Bình Dương
"4 PN • Hướng Bắc • Nhà mặt phố, mặt tiền","11,8 tỷ",16 tr/m²,741 m²,Đồng Nai
Đất thổ cư • Ngang 10 m,420 triệu,"1,9 tr/m²",216 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","3,78 tỷ",68 tr/m²,56 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,4 tỷ",84 tr/m²,64 m²,Tp Hồ Chí Minh
