Title,Type,Price,Price/m2,Area,Legal Documents,Rooms,Toilets,Address
"Chính chủ căn hộ The Rivana 1PN-1.9 tỷ, căn 2PN-2.58 tỷ, Sổ hồng sẵn",Chung cư,"2,58 tỷ","35,83 triệu/m²",72 m²,Sổ hồng riêng,2 phòng,2 phòng,"Quốc Lộ 13, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương"
"Bán 2PN Brilliant 112m2, full NT, giá chỉ 7 tỷ 090, view công viên",Chung cư,"7,09 tỷ","63,30 triệu/m²",112 m²,Hợp đồng mua bán,2 phòng,2 phòng,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh"
💥 Bán Căn hộ Bcons Solary 2PN chỉ từ 1ty5 tại Trung Tâm TP Dĩ An 💥,Chung cư,"1,5 tỷ",25 triệu/m²,60 m²,Hợp đồng mua bán,2 phòng,2 phòng,"Đường số 4, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương"
chin chủ cần ban chung cư căn góc 3 phong đep thoan mát đẹp,Chung cư,"4,5 tỷ","3,01 triệu/m²",1495.9 m²,Sổ hồng riêng,3 phòng,3 phòng,"557 ben binh đonh phuong 13 , Ban Chung Cư Căn Goc Đep 3 Phòng Ngủ Thoan Mát Đep, Phường 13, Quận 8, Tp Hồ Chí Minh"
Bán Căn 1 PHòng Ngủ -Nhà Mới - 780 triệu,Chung cư,780 triệu,"20,53 triệu/m²",38 m²,Đang chờ sổ,1 phòng,1 phòng,"68, Vĩnh Lộc A, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh"
CẦN BÁN GẤP CĂN HỘ SUNRISE RIVERSIDE - VIEW CỰC ĐẸP 70M2 GIÁ TỐT,Chung cư,"4,9 tỷ",70 triệu/m²,70 m²,Hợp đồng mua bán,2 phòng,2 phòng,"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh"
"cần bán nhanh căn hộ 1ng+,1vs giá 2tỷ250tr diện tích 47m2 tại VHOCP",Chung cư,"2,25 tỷ","47,87 triệu/m²",47 m²,Sổ hồng riêng,1 phòng,1 phòng,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội"
chính chủ cần bán căn hộ 2n+2vs diện tích 70m giá 3 tỷ 300tr tại VHOCB,Chung cư,"3,3 tỷ","47,14 triệu/m²",70 m²,Sổ hồng riêng,2 phòng,2 phòng,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội"
chính chủ cần bán căn hộ 3n+2vs diện tích 80m giá 3 tỷ 600tr tại VHOCB,Chung cư,"3,6 tỷ",45 triệu/m²,80 m²,Sổ hồng riêng,3 phòng,2 phòng,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội"
GIA ĐÌNH EM MUỐN BÁN CĂN STUDIO TẶNG NỘI THẤT GIÁ 1 TỶ650TR TẠI VINHOM,Chung cư,"1,65 tỷ","53,23 triệu/m²",31 m²,Sổ hồng riêng,1 phòng,1 phòng,"5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội"
